Title,Link,Instructor,Publication Date,Short Description,Post ID,Full Description,Language
Basics of Selling Techniques,https://dev.whiteboard.com.sa/courses/basics-of-selling-techniques-2/,Carla Btaish,"Fri, 31 Jan 2025 05:59:09 +0000","<body><img width=""640"" height=""369"" src=""https://dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg"" class=""attachment-large size-large wp-post-image"" alt="""" style=""float:left; margin:0 15px 15px 0;"" decoding=""async"" srcset=""https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?w=970&amp;ssl=1 970w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=300%2C173&amp;ssl=1 300w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=768%2C443&amp;ssl=1 768w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=600%2C346&amp;ssl=1 600w"" sizes=""(max-width: 640px) 100vw, 640px"" loading=""lazy""></body>Foundational selling techniques",,"<body><img width=""640"" height=""369"" src=""https://dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg"" class=""attachment-large size-large wp-post-image"" alt="""" style=""float:left; margin:0 15px 15px 0;"" decoding=""async"" srcset=""https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?w=970&amp;ssl=1 970w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=300%2C173&amp;ssl=1 300w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=768%2C443&amp;ssl=1 768w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=600%2C346&amp;ssl=1 600w"" sizes=""(max-width: 640px) 100vw, 640px"" loading=""lazy""></body>Foundational selling techniques Overview:Equip participants with foundational selling techniques to improve their effectiveness in sales conversations and client interactions.Target Audience:Employees with up to 6 years of experience is direct sales.Course Content:Day 1: Understanding Customer Service FundamentalsWelcome and IntroductionObjective: To set expectations for the workshop, overview of the importance of the selling in business.Understanding the Sales ProcessObjectives: To define the 7 steps of the sales process and the difference between transactional and consultative sales.Building rapport and understanding customer needsObjective: To know how to build a rapport and how to get to the customer need professionally.Product needs and value propositionObjective: To understand the importance of product knowledge and how to create accordingly the value proposition.Present Solutions and Overcome ObjectionsObjective: To know how to tailor your presentation to meet customer needs.Close the SalesObjective: To recognize the signs that the customer is ready to buy and overcome “last-minute”Follow-Up and Maintain Customer RelationshipsObjective: To know how to build a long-term relationship and check on customer satisfaction.Final Review and EvaluationObjective: To consolidate learning and gather feedback on the workshop.",Language:English
Basics of Selling Techniques,https://dev.whiteboard.com.sa/courses/basics-of-selling-techniques/,Carla Btaish,"Fri, 31 Jan 2025 05:56:04 +0000","<body><img width=""640"" height=""369"" src=""https://dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg"" class=""attachment-large size-large wp-post-image"" alt="""" style=""float:left; margin:0 15px 15px 0;"" decoding=""async"" srcset=""https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?w=970&amp;ssl=1 970w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=300%2C173&amp;ssl=1 300w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=768%2C443&amp;ssl=1 768w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=600%2C346&amp;ssl=1 600w"" sizes=""(max-width: 640px) 100vw, 640px"" loading=""lazy""></body>Foundational selling techniques",,"<body><img width=""640"" height=""369"" src=""https://dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg"" class=""attachment-large size-large wp-post-image"" alt="""" style=""float:left; margin:0 15px 15px 0;"" decoding=""async"" srcset=""https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?w=970&amp;ssl=1 970w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=300%2C173&amp;ssl=1 300w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=768%2C443&amp;ssl=1 768w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=600%2C346&amp;ssl=1 600w"" sizes=""(max-width: 640px) 100vw, 640px"" loading=""lazy""></body>Foundational selling techniques Overview:Equip participants with foundational selling techniques to improve their effectiveness in sales conversations and client interactions.Target Audience:Employees with up to 6 years of experience is direct sales.Course Content:Day 1: Understanding Customer Service FundamentalsWelcome and IntroductionObjective: To set expectations for the workshop, overview of the importance of the selling in business.Understanding the Sales ProcessObjectives: To define the 7 steps of the sales process and the difference between transactional and consultative sales.Building rapport and understanding customer needsObjective: To know how to build a rapport and how to get to the customer need professionally.Product needs and value propositionObjective: To understand the importance of product knowledge and how to create accordingly the value proposition.Present Solutions and Overcome ObjectionsObjective: To know how to tailor your presentation to meet customer needs.Close the SalesObjective: To recognize the signs that the customer is ready to buy and overcome “last-minute”Follow-Up and Maintain Customer RelationshipsObjective: To know how to build a long-term relationship and check on customer satisfaction.Final Review and EvaluationObjective: To consolidate learning and gather feedback on the workshop.",Language:Arabic
Basics of Customer Service Skills,https://dev.whiteboard.com.sa/courses/basics-of-customer-service-skills-2/,Carla Btaish,"Fri, 31 Jan 2025 05:55:25 +0000","<body><img width=""640"" height=""369"" src=""https://dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg"" class=""attachment-large size-large wp-post-image"" alt="""" style=""float:left; margin:0 15px 15px 0;"" decoding=""async"" srcset=""https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?w=970&amp;ssl=1 970w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=300%2C173&amp;ssl=1 300w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=768%2C443&amp;ssl=1 768w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=600%2C346&amp;ssl=1 600w"" sizes=""(max-width: 640px) 100vw, 640px"" loading=""lazy""></body>Increase customer satisfaction and loyalty",,"<body><img width=""640"" height=""369"" src=""https://dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg"" class=""attachment-large size-large wp-post-image"" alt="""" style=""float:left; margin:0 15px 15px 0;"" decoding=""async"" srcset=""https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?w=970&amp;ssl=1 970w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=300%2C173&amp;ssl=1 300w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=768%2C443&amp;ssl=1 768w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=600%2C346&amp;ssl=1 600w"" sizes=""(max-width: 640px) 100vw, 640px"" loading=""lazy""></body>Increase customer satisfaction and loyalty Overview:Increase customer satisfaction and loyaltyTarget Audience:Front Line Customer Service RepresentativeSales and Support teamCall Center AgentRetail teamsCourse Content:Day 1: Understanding Customer Service FundamentalsWelcome and IntroductionObjective: Overview of workshop goals and icebreaker activity.Understanding Customer Service FundamentalsObjectives: to understand the importance of excellent customer service.Effective Communication SkillsObjective: to know the different types and techniques of communication and their relation to a good customer experience.Handling Customer Complaints and Conflict ResolutionObjective: To know how to turn complaints into opportunities.Wrap-up and ReviewObjective: To review the key learnings from Day 1.Day 2: Applied Customer Service TechniquesDealing with Difficult CustomersObjective: To understand the different types of difficult customers and use the right technique accordingly.Building Rapport and Business RelationshipObjective: To learn how to establish trust and credibility using a personalized technique.Problem Solving and Decision MakingObjective: To learn how to step into effective problem solving by offering the right solution.Final Review and EvaluationObjective: To consolidate learning and gather feedback on the workshop",Language:Arabic
Basics of Customer Service Skills,https://dev.whiteboard.com.sa/courses/basics-of-customer-service-skills/,Carla Btaish,"Fri, 31 Jan 2025 05:52:06 +0000","<body><img width=""640"" height=""369"" src=""https://dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg"" class=""attachment-large size-large wp-post-image"" alt="""" style=""float:left; margin:0 15px 15px 0;"" decoding=""async"" srcset=""https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?w=970&amp;ssl=1 970w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=300%2C173&amp;ssl=1 300w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=768%2C443&amp;ssl=1 768w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=600%2C346&amp;ssl=1 600w"" sizes=""(max-width: 640px) 100vw, 640px"" loading=""lazy""></body>Increase customer satisfaction and loyalty",,"<body><img width=""640"" height=""369"" src=""https://dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg"" class=""attachment-large size-large wp-post-image"" alt="""" style=""float:left; margin:0 15px 15px 0;"" decoding=""async"" srcset=""https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?w=970&amp;ssl=1 970w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=300%2C173&amp;ssl=1 300w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=768%2C443&amp;ssl=1 768w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=600%2C346&amp;ssl=1 600w"" sizes=""(max-width: 640px) 100vw, 640px"" loading=""lazy""></body>Increase customer satisfaction and loyalty Overview:Increase customer satisfaction and loyaltyTarget Audience:Front Line Customer Service RepresentativeSales and Support teamCall Center AgentRetail teamsCourse Content:Day 1: Understanding Customer Service FundamentalsWelcome and IntroductionObjective: Overview of workshop goals and icebreaker activity.Understanding Customer Service FundamentalsObjectives: to understand the importance of excellent customer service.Effective Communication SkillsObjective: to know the different types and techniques of communication and their relation to a good customer experience.Handling Customer Complaints and Conflict ResolutionObjective: To know how to turn complaints into opportunities.Wrap-up and ReviewObjective: To review the key learnings from Day 1.Day 2: Applied Customer Service TechniquesDealing with Difficult CustomersObjective: To understand the different types of difficult customers and use the right technique accordingly.Building Rapport and Business RelationshipObjective: To learn how to establish trust and credibility using a personalized technique.Problem Solving and Decision MakingObjective: To learn how to step into effective problem solving by offering the right solution.Final Review and EvaluationObjective: To consolidate learning and gather feedback on the workshop",Language:English
Strengths Based Coaching,https://dev.whiteboard.com.sa/courses/strengths-based-coaching/,Jaspreet Bhatia,"Fri, 31 Jan 2025 05:49:57 +0000","<body><img width=""640"" height=""369"" src=""https://dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg"" class=""attachment-large size-large wp-post-image"" alt="""" style=""float:left; margin:0 15px 15px 0;"" decoding=""async"" srcset=""https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?w=970&amp;ssl=1 970w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=300%2C173&amp;ssl=1 300w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=768%2C443&amp;ssl=1 768w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=600%2C346&amp;ssl=1 600w"" sizes=""(max-width: 640px) 100vw, 640px"" loading=""lazy""></body>Talent development and empowerment",,"<body><img width=""640"" height=""369"" src=""https://dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg"" class=""attachment-large size-large wp-post-image"" alt="""" style=""float:left; margin:0 15px 15px 0;"" decoding=""async"" srcset=""https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?w=970&amp;ssl=1 970w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=300%2C173&amp;ssl=1 300w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=768%2C443&amp;ssl=1 768w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=600%2C346&amp;ssl=1 600w"" sizes=""(max-width: 640px) 100vw, 640px"" loading=""lazy""></body>Talent development and empowerment Overview:Strength-based coaching focuses on identifying and leveraging individuals’ strengths to maximise performance, engagement, and personal growth. This training introduces leaders in Saudi Arabia to the principles and practices of strength-based coaching, aligning with the Kingdom’s emphasis on talent development and empowerment under Vision 2030.The workshop equips participants with the skills to identify strengths within their teams, create an empowering environment, and coach employees toward achieving their full potential. The training incorporates practical frameworks and real-world examples to demonstrate how leaders can use a strength-based approach to enhance employee performance, motivation, and engagement.Learning Outcomes:Understand the fundamentals of strength-based coaching and its benefits.Identify their own strengths and learn how to recognise strengths in others.Apply coaching techniques that empower individuals and foster growth.Develop strategies to integrate strength-based coaching into daily leadership practices.Course Content:Ch 1: Identifying Strengths in Leadership & Employee DevelopmentCh 2: Coaching with a Strength-Based ApproachCh 3: Building Strength-Based TeamsCh 4: Integration into Leadership Practice",Language:English
Women Entrepreneurship,https://dev.whiteboard.com.sa/courses/women-entrepreneurship/,Jaspreet Bhatia,"Fri, 31 Jan 2025 05:43:37 +0000","<body><img width=""640"" height=""369"" src=""https://dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg"" class=""attachment-large size-large wp-post-image"" alt="""" style=""float:left; margin:0 15px 15px 0;"" decoding=""async"" srcset=""https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?w=970&amp;ssl=1 970w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=300%2C173&amp;ssl=1 300w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=768%2C443&amp;ssl=1 768w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=600%2C346&amp;ssl=1 600w"" sizes=""(max-width: 640px) 100vw, 640px"" loading=""lazy""></body>Succeed in the dynamic business landscape",,"<body><img width=""640"" height=""369"" src=""https://dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg"" class=""attachment-large size-large wp-post-image"" alt="""" style=""float:left; margin:0 15px 15px 0;"" decoding=""async"" srcset=""https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?w=970&amp;ssl=1 970w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=300%2C173&amp;ssl=1 300w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=768%2C443&amp;ssl=1 768w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=600%2C346&amp;ssl=1 600w"" sizes=""(max-width: 640px) 100vw, 640px"" loading=""lazy""></body>Succeed in the dynamic business landscape Overview:With the growing emphasis on female empowerment and economic participation in, women entrepreneurship is emerging as a key driver of innovation and economic growth. This training provides aspiring and current women entrepreneurs with the tools, confidence, and insights needed to succeed in the dynamic business landscape.The Workshop is designed to inspire and equip women with the mindset, skills, and strategies to launch and grow their own businesses. The training covers the unique challenges and opportunities for women entrepreneurs in Saudi Arabia, focusing on practical insights and real-world applications.Learning Outcomes:Identify and develop a viable business idea aligned with their skills and market demands.Gain basic knowledge of resource management, including funding and operational planning.Learn strategies to navigate challenges unique to women entrepreneurs.Build confidence to pursue entrepreneurial ventures and leverage networks for growth.Course Content:Ch 1: Identifying Business Opportunities and IdeasCh 2: Building a Strong Foundation for SuccessCh 3: Overcoming Barriers and Leveraging NetworksCh 4: Fostering a Growth Mindset",Language:English
Strategic Planning,https://dev.whiteboard.com.sa/courses/strategic-planning/,Jaspreet Bhatia,"Fri, 31 Jan 2025 05:43:15 +0000","<body><img width=""640"" height=""369"" src=""https://dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg"" class=""attachment-large size-large wp-post-image"" alt="""" style=""float:left; margin:0 15px 15px 0;"" decoding=""async"" srcset=""https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?w=970&amp;ssl=1 970w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=300%2C173&amp;ssl=1 300w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=768%2C443&amp;ssl=1 768w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=600%2C346&amp;ssl=1 600w"" sizes=""(max-width: 640px) 100vw, 640px"" loading=""lazy""></body>Develop and implement strategic plans",,"<body><img width=""640"" height=""369"" src=""https://dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg"" class=""attachment-large size-large wp-post-image"" alt="""" style=""float:left; margin:0 15px 15px 0;"" decoding=""async"" srcset=""https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?w=970&amp;ssl=1 970w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=300%2C173&amp;ssl=1 300w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=768%2C443&amp;ssl=1 768w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=600%2C346&amp;ssl=1 600w"" sizes=""(max-width: 640px) 100vw, 640px"" loading=""lazy""></body>Develop and implement strategic plans Overview:Strategic planning aligns organisational goals with a rapidly evolving business environment. This training focuses on equipping leaders in Saudi Arabia with the tools and techniques to develop, implement, and adjust strategic plans effectively.Develop a Strategic Mindset to lead teams with this two-hour session. It introduces participants to the essentials of strategic planning within a leadership context. Through a blend of theory and practical application, participants will learn to define objectives, analyse internal and external factors, and set actionable priorities for long-term success.Learning Outcomes:Understand the key elements of strategic planning and their relevance to leadership.Analyse internal and external factors influencing strategic decisions.Learn techniques to set clear, measurable objectives aligned with organisational goals.Build strategies that prioritise adaptability and resilience.Course Content:Ch 1: Aligning strategic planning with organisational transformationCh 2: Key components of a strategic planCh 3: Analysing Internal and External EnvironmentsCh 4: Designing, Implementing and Monitoring Strategic Plans",Language:English
Professional Plans,https://dev.whiteboard.com.sa/courses/professional-plans/,Jaspreet Bhatia,"Fri, 31 Jan 2025 05:42:55 +0000","<body><img width=""640"" height=""369"" src=""https://dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg"" class=""attachment-large size-large wp-post-image"" alt="""" style=""float:left; margin:0 15px 15px 0;"" decoding=""async"" srcset=""https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?w=970&amp;ssl=1 970w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=300%2C173&amp;ssl=1 300w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=768%2C443&amp;ssl=1 768w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=600%2C346&amp;ssl=1 600w"" sizes=""(max-width: 640px) 100vw, 640px"" loading=""lazy""></body>Design dashboards and professional plans",,"<body><img width=""640"" height=""369"" src=""https://dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg"" class=""attachment-large size-large wp-post-image"" alt="""" style=""float:left; margin:0 15px 15px 0;"" decoding=""async"" srcset=""https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?w=970&amp;ssl=1 970w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=300%2C173&amp;ssl=1 300w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=768%2C443&amp;ssl=1 768w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=600%2C346&amp;ssl=1 600w"" sizes=""(max-width: 640px) 100vw, 640px"" loading=""lazy""></body>Design dashboards and professional plans Overview:With Leadership Dashboards and Professional Plans, design clear, actionable dashboards and well-structured professional plans to track performance, set goals, and drive strategic outcomes.This two-hour training introduces participants to the fundamentals of creating and utilising leadership dashboards and professional development plans. The session focuses on defining key performance indicators (KPIs), integrating data insights, and building actionable strategies for success. Participants will engage in practical exercises to design dashboards and plans that reflect their unique leadership roles and responsibilities.Learning Outcomes:Understand the purpose and components of a leadership dashboard.Identify and define key performance indicators (KPIs) relevant to their roles.Develop professional plans that align with organisational and personal growth objectives.Learn techniques to monitor progress and adapt plans to changing circumstances.Course Content:Ch 1: How dashboards and plans align with VisionCh 2: Key Performance Indicators (KPIs) and MetricsCh 3: Designing Leadership DashboardsCh 4: Crafting and Implementing Professional Development Plans",Language:English
Adaptive Leadership,https://dev.whiteboard.com.sa/courses/adaptive-leadership/,Jaspreet Bhatia,"Fri, 31 Jan 2025 05:39:48 +0000","<body><img width=""640"" height=""369"" src=""https://dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg"" class=""attachment-large size-large wp-post-image"" alt="""" style=""float:left; margin:0 15px 15px 0;"" decoding=""async"" srcset=""https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?w=970&amp;ssl=1 970w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=300%2C173&amp;ssl=1 300w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=768%2C443&amp;ssl=1 768w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=600%2C346&amp;ssl=1 600w"" sizes=""(max-width: 640px) 100vw, 640px"" loading=""lazy""></body>Lead through change",,"<body><img width=""640"" height=""369"" src=""https://dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg"" class=""attachment-large size-large wp-post-image"" alt="""" style=""float:left; margin:0 15px 15px 0;"" decoding=""async"" srcset=""https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?w=970&amp;ssl=1 970w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=300%2C173&amp;ssl=1 300w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=768%2C443&amp;ssl=1 768w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=600%2C346&amp;ssl=1 600w"" sizes=""(max-width: 640px) 100vw, 640px"" loading=""lazy""></body>Lead through change Overview:The practice of adaptive leadership equips professionals with the ability to navigate uncertainty, lead through change, and solve complex challenges, in order to help leaders foster adaptability, resilience, and strategic foresight in alignment with Vision 2030’s focus on innovation and transformation.Introducing the principles and practices of adaptive leadership, this workshop aims to empower participants to respond effectively to rapidly changing business landscapes. Through engaging discussions and practical activities, attendees will learn to distinguish technical problems from adaptive challenges, build collective intelligence, and lead their teams with flexibility and clarity.Learning Outcomes:Understand the key principles of adaptive leadership.Differentiate between technical and adaptive challenges.Develop strategies for mobilising teams during uncertainty and change.Build skills to foster collaboration, innovation, and resilience in their teams.Apply adaptive leadership concepts to organisational and cultural transformation efforts.Course Content:Ch 1: Importance of Adaptive LeadershipCh 2: Understanding Adaptive vs. Technical ChallengesCh 3: Leading Through Change and UncertaintyCh 4: Applying Adaptive Leadership Principles",Language:English
Entrepreneurial Thinking,https://dev.whiteboard.com.sa/courses/entrepreneurial-thinking/,Jaspreet Bhatia,"Fri, 31 Jan 2025 05:38:45 +0000","<body><img width=""640"" height=""369"" src=""https://dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg"" class=""attachment-large size-large wp-post-image"" alt="""" style=""float:left; margin:0 15px 15px 0;"" decoding=""async"" srcset=""https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?w=970&amp;ssl=1 970w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=300%2C173&amp;ssl=1 300w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=768%2C443&amp;ssl=1 768w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=600%2C346&amp;ssl=1 600w"" sizes=""(max-width: 640px) 100vw, 640px"" loading=""lazy""></body>Embraces creativity, resilience, and innovation",,"<body><img width=""640"" height=""369"" src=""https://dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg"" class=""attachment-large size-large wp-post-image"" alt="""" style=""float:left; margin:0 15px 15px 0;"" decoding=""async"" srcset=""https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?w=970&amp;ssl=1 970w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=300%2C173&amp;ssl=1 300w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=768%2C443&amp;ssl=1 768w, https://i0.wp.com/dev.whiteboard.com.sa/wp-content/uploads/2024/11/online.jpg?resize=600%2C346&amp;ssl=1 600w"" sizes=""(max-width: 640px) 100vw, 640px"" loading=""lazy""></body>Embraces creativity, resilience, and innovation Overview:This training is designed to help professionals and leaders in Saudi Arabia develop a mindset that embraces creativity, resilience, innovation, and a solutions-oriented approach to challenges to drive personal and organizational growth, aligning with Vision 2030’s emphasis on fostering innovation and entrepreneurship.The workshop introduces participants to the core principles of entrepreneurial thinking. It emphasizes identifying opportunities, problem-solving, and cultivating innovative ideas that add value.Learning Outcomes:Understand the fundamentals of entrepreneurial thinking and its relevance to various roles.Identify opportunities for innovation within their organizations or industries.Develop problem-solving skills using creative and practical approaches.Cultivate a proactive mindset to take calculated risks and embrace change.Course Content:Ch 1: Characteristics of an Entrepreneurial MindsetCh 2: Identifying Opportunities and Problem-SolvingCh 3: Strategic Risk-Taking and AdaptabilityCh 4: Applying Entrepreneurial Thinking",Language:English
